Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
0	2023-06-08 10:53:48	9	2023-06-08 20:18:48	9	Midnight	125.690	26.006	-6.00
1	2023-06-08 20:18:48	9	2023-06-09 10:49:48	9	Midday	126.214	25.105	-6.00
2	2023-06-09 10:49:48	9	2023-06-09 20:17:48	9	Midnight	126.363	25.306	-6.00
3	2023-06-09 20:17:48	9	2023-06-10 10:49:48	9	Midday	126.388	25.223	-6.00
4	2023-06-10 10:49:48	9	2023-06-10 20:28:48	9	Midnight	125.038	22.915	-6.00
5	2023-06-10 20:28:48	9	2023-06-11 10:39:48	9	Midday	126.313	20.631	-6.00
6	2023-06-11 10:39:48	9	2023-06-11 20:13:48	9	Midnight	128.213	23.906	-6.00
7	2023-06-11 20:13:48	9	2023-06-12 10:48:48	9	Midday	127.114	25.679	-6.00
8	2023-06-12 10:48:48	9	2023-06-12 20:18:48	9	Midnight	126.515	24.671	-6.00
9	2023-06-12 20:18:48	9	2023-06-13 10:49:48	9	Midday	126.416	24.802	-6.00
10	2023-06-13 10:49:48	9	2023-06-13 20:23:48	9	Midnight	125.817	23.781	-6.00
11	2023-06-13 20:23:48	9	2023-06-14 10:53:48	9	Midday	125.343	24.540	-6.00
12	2023-06-14 10:53:48	9	2023-06-14 20:18:48	9	Midnight	125.994	25.571	-6.00
13	2023-06-14 20:18:48	9	2023-06-15 10:54:48	9	Midday	125.896	25.704	-6.00
14	2023-06-15 10:54:48	9	2023-06-15 20:08:48	9	Midnight	127.172	27.666	-6.00
15	2023-06-15 20:08:48	9	2023-06-16 10:49:48	9	Midday	127.824	26.644	-6.00
16	2023-06-16 10:49:48	9	2023-06-16 20:18:48	9	Midnight	126.601	24.677	-6.00
17	2023-06-16 20:18:48	9	2023-06-17 10:42:48	9	Midday	127.503	23.166	-6.00
18	2023-06-17 10:42:48	9	2023-06-17 20:23:48	9	Midnight	126.905	22.132	-6.00
19	2023-06-17 20:23:48	9	2023-06-18 10:43:48	9	Midday	126.807	22.288	-6.00
20	2023-06-18 10:43:48	9	2023-06-18 20:17:48	9	Midnight	127.584	23.592	-6.00
21	2023-06-18 20:17:48	9	2023-06-19 10:44:48	9	Midday	127.486	23.745	-6.00
22	2023-06-19 10:44:48	9	2023-06-19 20:19:48	9	Midnight	127.264	23.366	-6.00
23	2023-06-19 20:19:48	9	2023-06-20 10:42:48	9	Midday	127.541	22.894	-6.00
24	2023-06-20 10:42:48	9	2023-06-20 20:13:48	9	Midnight	128.318	24.184	-6.00
25	2023-06-20 20:13:48	9	2023-06-21 11:02:48	9	Midday	125.845	28.055	-6.00
26	2023-06-21 11:02:48	9	2023-06-21 20:16:48	9	Midnight	125.498	27.531	-6.00
27	2023-06-21 20:16:48	9	2023-06-22 14:01:48	9	Midday	103.153	49.516	-6.00
28	2023-06-22 14:01:48	9	2023-06-22 20:10:48	9	Midnight	103.930	49.971	-6.00
29	2023-06-22 20:10:48	9	2023-06-23 10:38:48	9	Midday	129.329	23.939	-6.00
30	2023-06-23 10:38:48	9	2023-06-23 20:13:48	9	Midnight	128.981	23.366	-6.00
31	2023-06-23 20:13:48	9	2023-06-24 10:51:48	9	Midday	127.383	25.970	-6.00
32	2023-06-24 10:51:48	9	2023-06-24 20:30:48	9	Midnight	125.285	22.538	-6.00
33	2023-06-24 20:30:48	9	2023-06-25 10:43:48	9	Midday	126.311	20.764	-6.00
34	2023-06-25 10:43:48	9	2023-06-25 20:32:48	9	Midnight	126.088	20.379	-6.00
35	2023-06-25 20:32:48	9	2023-06-26 10:49:48	9	Midday	125.365	21.669	-6.00
36	2023-06-26 10:49:48	9	2023-06-26 20:34:48	9	Midnight	125.141	21.293	-6.00
37	2023-06-26 20:34:48	9	2023-06-27 18:27:48	9	Midday	67.925	59.650	-6.00
38	2023-06-27 18:27:48	9	2023-06-28 20:31:48	9	Midnight	68.352	59.749	-6.00
39	2023-06-28 20:31:48	9	2023-06-29 10:50:48	9	Midday	125.520	22.224	-6.00
40	2023-06-29 10:50:48	9	2023-06-29 20:43:48	9	Midnight	124.045	19.626	-6.00
41	2023-06-29 20:43:48	9	2023-06-30 10:57:48	9	Midday	123.195	21.182	-6.00
42	2023-06-30 10:57:48	9	2023-06-30 20:29:48	9	Midnight	124.970	24.259	-6.00
43	2023-06-30 20:29:48	9	2023-07-01 10:59:48	9	Midday	124.744	24.665	-6.00
44	2023-07-01 10:59:48	9	2023-07-01 20:16:48	9	Midnight	126.393	27.333	-6.00
45	2023-07-01 20:16:48	9	2023-07-02 10:46:48	9	Midday	128.042	24.736	-6.00
46	2023-07-02 10:46:48	9	2023-07-02 20:33:48	9	Midnight	125.941	21.161	-6.00
47	2023-07-02 20:33:48	9	2023-07-03 10:57:48	9	Midday	124.590	23.558	-6.00
48	2023-07-03 10:57:48	9	2023-07-03 20:22:48	9	Midnight	125.988	25.917	-6.00
49	2023-07-03 20:22:48	9	2023-07-04 10:51:48	9	Midday	126.760	24.694	-6.00
50	2023-07-04 10:51:48	9	2023-07-04 20:51:48	9	Midnight	123.158	18.310	-6.00
51	2023-07-04 20:51:48	9	2023-07-05 11:04:48	9	Midday	121.555	21.321	-6.00
52	2023-07-05 11:04:48	9	2023-07-05 20:12:48	9	Midnight	126.452	29.404	-6.00
53	2023-07-05 20:12:48	9	2023-07-06 11:00:48	9	Midday	126.973	28.676	-6.00
