Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
0	2023-06-09 02:18:53	9	2023-06-09 08:20:53	9	Midnight	-80.178	51.083	-6.00
1	2023-06-09 08:20:53	9	2023-06-10 10:43:53	9	Midday	36.730	-72.258	-6.00
2	2023-06-10 10:43:53	9	2023-06-10 20:08:53	9	Midnight	128.267	25.832	-6.00
3	2023-06-10 20:08:53	9	2023-06-11 10:48:53	9	Midday	127.667	26.747	-6.00
4	2023-06-11 10:48:53	9	2023-06-11 20:02:53	9	Midnight	128.442	27.907	-6.00
5	2023-06-11 20:02:53	9	2023-06-12 10:52:53	9	Midday	127.968	28.585	-6.00
6	2023-06-12 10:52:53	9	2023-06-12 20:09:53	9	Midnight	127.119	27.261	-6.00
7	2023-06-12 20:09:53	9	2023-06-13 10:53:54	9	Midday	127.018	27.384	-6.00
8	2023-06-13 10:53:54	9	2023-06-13 20:12:54	9	Midnight	126.667	26.810	-6.00
9	2023-06-13 20:12:54	9	2023-06-14 12:17:54	9	Midday	116.194	40.013	-6.00
10	2023-06-14 12:17:54	9	2023-06-14 20:07:54	9	Midnight	116.846	40.627	-6.00
11	2023-06-14 20:07:54	9	2023-06-15 10:58:54	9	Midday	126.746	28.586	-6.00
12	2023-06-15 10:58:54	9	2023-06-15 19:58:54	9	Midnight	127.897	30.227	-6.00
13	2023-06-15 19:58:54	9	2023-06-16 10:57:54	9	Midday	128.049	29.990	-6.00
14	2023-06-16 10:57:54	9	2023-06-16 20:00:54	9	Midnight	127.826	29.651	-6.00
15	2023-06-16 20:00:54	9	2023-06-17 10:51:55	9	Midday	128.601	28.505	-6.00
16	2023-06-17 10:51:55	9	2023-06-17 20:16:55	9	Midnight	126.626	25.452	-6.00
17	2023-06-17 20:16:55	9	2023-06-18 11:01:55	9	Midday	125.403	27.346	-6.00
18	2023-06-18 11:01:55	9	2023-06-18 20:00:55	9	Midnight	127.430	30.298	-6.00
19	2023-06-18 20:00:55	9	2023-06-19 10:58:55	9	Midday	127.832	29.718	-6.00
20	2023-06-19 10:58:55	9	2023-06-19 20:05:55	9	Midnight	127.234	28.847	-6.00
21	2023-06-19 20:05:55	9	2023-06-20 10:57:55	9	Midday	127.387	28.617	-6.00
22	2023-06-20 10:57:55	9	2023-06-20 20:05:55	9	Midnight	127.414	28.652	-6.00
23	2023-06-20 20:05:55	9	2023-06-21 10:59:56	9	Midday	127.189	28.978	-6.00
24	2023-06-21 10:59:56	9	2023-06-21 20:03:56	9	Midnight	127.464	29.375	-6.00
25	2023-06-21 20:03:56	9	2023-06-22 11:06:56	9	Midday	126.616	30.575	-6.00
26	2023-06-22 11:06:56	9	2023-06-22 20:04:56	9	Midnight	126.519	30.442	-6.00
27	2023-06-22 20:04:56	9	2023-06-23 11:07:56	9	Midday	126.421	30.583	-6.00
28	2023-06-23 11:07:56	9	2023-06-23 20:08:56	9	Midnight	125.948	29.926	-6.00
29	2023-06-23 20:08:56	9	2023-06-24 11:02:56	9	Midday	126.600	28.999	-6.00
30	2023-06-24 11:02:56	9	2023-06-24 20:24:57	9	Midnight	124.625	26.019	-6.00
31	2023-06-24 20:24:57	9	2023-06-25 10:56:57	9	Midday	125.399	24.793	-6.00
32	2023-06-25 10:56:57	9	2023-06-25 20:11:57	9	Midnight	127.050	27.402	-6.00
33	2023-06-25 20:11:57	9	2023-06-26 10:58:57	9	Midday	126.827	27.757	-6.00
34	2023-06-26 10:58:57	9	2023-06-26 20:07:57	9	Midnight	127.353	28.561	-6.00
35	2023-06-26 20:07:57	9	2023-06-27 10:54:57	9	Midday	127.879	27.795	-6.00
36	2023-06-27 10:54:57	9	2023-06-27 20:05:57	9	Midnight	128.155	28.231	-6.00
37	2023-06-27 20:05:57	9	2023-06-28 11:02:57	9	Midday	127.181	29.682	-6.00
38	2023-06-28 11:02:57	9	2023-06-28 20:07:58	9	Midnight	126.955	29.382	-6.00
39	2023-06-28 20:07:58	9	2023-06-29 10:59:58	9	Midday	127.353	28.828	-6.00
40	2023-06-29 10:59:58	9	2023-06-29 20:39:58	9	Midnight	123.379	22.509	-6.00
41	2023-06-29 20:39:58	9	2023-06-30 10:52:58	9	Midday	124.279	20.960	-6.00
42	2023-06-30 10:52:58	9	2023-06-30 20:27:58	9	Midnight	125.803	23.631	-6.00
43	2023-06-30 20:27:58	9	2023-07-01 11:02:58	9	Midday	124.578	25.683	-6.00
44	2023-07-01 11:02:58	9	2023-07-01 20:13:58	9	Midnight	126.352	28.475	-6.00
45	2023-07-01 20:13:58	9	2023-07-02 10:58:58	9	Midday	126.876	27.720	-6.00
46	2023-07-02 10:58:58	9	2023-07-02 20:31:59	9	Midnight	124.648	24.187	-6.00
47	2023-07-02 20:31:59	9	2023-07-03 11:04:59	9	Midday	123.919	25.432	-6.00
48	2023-07-03 11:04:59	9	2023-07-03 20:19:59	9	Midnight	125.442	27.884	-6.00
49	2023-07-03 20:19:59	9	2023-07-04 11:07:59	9	Midday	125.090	28.468	-6.00
50	2023-07-04 11:07:59	9	2023-07-04 20:46:59	9	Midnight	121.737	23.081	-6.00
51	2023-07-04 20:46:59	9	2023-07-05 11:18:59	9	Midday	120.385	25.410	-6.00
52	2023-07-05 11:18:59	9	2023-07-05 20:04:59	9	Midnight	125.656	33.262	-6.00
53	2023-07-05 20:04:59	9	2023-07-06 11:06:59	9	Midday	127.177	31.240	-6.00
54	2023-07-06 11:06:59	9	2023-07-06 20:21:00	9	Midnight	125.196	28.380	-6.00
55	2023-07-06 20:21:00	9	2023-07-07 11:03:00	9	Midday	125.715	27.634	-6.00
56	2023-07-07 11:03:00	9	2023-07-07 20:25:00	9	Midnight	125.235	26.932	-6.00
57	2023-07-07 20:25:00	9	2023-07-08 10:59:00	9	Midday	125.755	26.150	-6.00
58	2023-07-08 10:59:00	9	2023-07-08 20:23:00	9	Midnight	126.024	26.651	-6.00
59	2023-07-08 20:23:00	9	2023-07-09 10:59:00	9	Midday	126.043	26.685	-6.00
60	2023-07-09 10:59:00	9	2023-07-09 20:20:00	9	Midnight	126.437	27.386	-6.00
61	2023-07-09 20:20:00	9	2023-07-10 10:58:00	9	Midday	126.580	27.225	-6.00
62	2023-07-10 10:58:00	9	2023-07-10 20:21:01	9	Midnight	126.471	27.118	-6.00
63	2023-07-10 20:21:01	9	2023-07-11 11:13:01	9	Midday	124.611	30.099	-6.00
64	2023-07-11 11:13:01	9	2023-07-11 20:16:01	9	Midnight	125.253	31.129	-6.00
65	2023-07-11 20:16:01	9	2023-07-12 10:59:01	9	Midday	127.019	28.522	-6.00
66	2023-07-12 10:59:01	9	2023-07-12 20:25:01	9	Midnight	125.910	26.806	-6.00
67	2023-07-12 20:25:01	9	2023-07-13 10:56:01	9	Midday	126.300	26.232	-6.00
68	2023-07-13 10:56:01	9	2023-07-13 20:24:01	9	Midnight	126.440	26.548	-6.00
69	2023-07-13 20:24:01	9	2023-07-14 11:01:01	9	Midday	125.830	27.646	-6.00
70	2023-07-14 11:01:01	9	2023-07-14 20:27:02	9	Midnight	125.467	27.132	-6.00
71	2023-07-14 20:27:02	9	2023-07-15 11:03:02	9	Midday	125.228	27.617	-6.00
72	2023-07-15 11:03:02	9	2023-07-15 20:22:02	9	Midnight	125.866	28.749	-6.00
73	2023-07-15 20:22:02	9	2023-07-16 11:01:02	9	Midday	126.128	28.418	-6.00
74	2023-07-16 11:01:02	9	2023-07-16 20:21:02	9	Midnight	126.265	28.736	-6.00
75	2023-07-16 20:21:02	9	2023-07-17 10:45:02	9	Midday	128.276	25.412	-6.00
76	2023-07-17 10:45:02	9	2023-07-17 20:28:02	9	Midnight	127.412	23.941	-6.00
77	2023-07-17 20:28:02	9	2023-07-18 11:08:03	9	Midday	124.545	29.025	-6.00
78	2023-07-18 11:08:03	9	2023-07-18 20:32:03	9	Midnight	124.053	28.316	-6.00
79	2023-07-18 20:32:03	9	2023-07-19 10:55:03	9	Midday	125.687	25.582	-6.00
80	2023-07-19 10:55:03	9	2023-07-19 20:28:03	9	Midnight	126.195	26.591	-6.00
81	2023-07-19 20:28:03	9	2023-07-20 10:58:03	9	Midday	125.828	27.342	-6.00
82	2023-07-20 10:58:03	9	2023-07-20 20:28:03	9	Midnight	125.835	27.464	-6.00
83	2023-07-20 20:28:03	9	2023-07-21 12:09:03	9	Midday	116.967	40.285	-6.00
84	2023-07-21 12:09:03	9	2023-07-21 20:49:03	9	Midnight	114.349	37.195	-6.00
85	2023-07-21 20:49:03	9	2023-07-22 10:52:04	9	Midday	123.977	21.420	-6.00
86	2023-07-22 10:52:04	9	2023-07-22 20:40:04	9	Midnight	125.105	23.766	-6.00
87	2023-07-22 20:40:04	9	2023-07-23 10:51:04	9	Midday	125.234	23.625	-6.00
