Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
0	2023-06-09 12:37:00	9	2023-06-09 20:21:00	9	Midnight	112.565	41.748	-6.00
1	2023-06-09 20:21:00	9	2023-06-10 10:41:00	9	Midday	127.088	22.695	-6.00
2	2023-06-10 10:41:00	9	2023-06-10 20:18:00	9	Midnight	127.488	23.344	-6.00
3	2023-06-10 20:18:00	9	2023-06-11 10:45:00	9	Midday	127.013	24.110	-6.00
4	2023-06-11 10:45:00	9	2023-06-11 20:13:00	9	Midnight	127.663	25.148	-6.00
5	2023-06-11 20:13:00	9	2023-06-12 10:47:00	9	Midday	127.439	25.478	-6.00
6	2023-06-12 10:47:00	9	2023-06-12 20:27:00	9	Midnight	125.715	22.564	-6.00
7	2023-06-12 20:27:00	9	2023-06-13 10:55:00	9	Midday	124.741	24.183	-6.00
8	2023-06-13 10:55:00	9	2023-06-13 20:18:00	9	Midnight	125.892	26.024	-6.00
9	2023-06-13 20:18:00	9	2023-06-14 10:52:00	9	Midday	126.293	25.354	-6.00
10	2023-06-14 10:52:00	9	2023-06-14 20:17:00	9	Midnight	126.444	25.571	-6.00
11	2023-06-14 20:17:00	9	2023-06-15 10:57:00	9	Midday	125.846	26.493	-6.00
12	2023-06-15 10:57:00	9	2023-06-15 20:12:00	9	Midnight	126.497	27.476	-6.00
13	2023-06-15 20:12:00	9	2023-06-16 10:57:00	9	Midday	126.524	27.414	-6.00
14	2023-06-16 10:57:00	9	2023-06-16 20:08:00	9	Midnight	127.051	28.188	-6.00
15	2023-06-16 20:08:00	9	2023-06-17 10:50:00	9	Midday	127.953	26.801	-6.00
16	2023-06-17 10:50:00	9	2023-06-17 20:15:00	9	Midnight	127.105	25.452	-6.00
17	2023-06-17 20:15:00	9	2023-06-18 10:56:00	9	Midday	126.382	26.577	-6.00
18	2023-06-18 10:56:00	9	2023-06-18 20:08:00	9	Midnight	127.284	27.941	-6.00
19	2023-06-18 20:08:00	9	2023-06-19 10:54:00	9	Midday	127.561	27.514	-6.00
20	2023-06-19 10:54:00	9	2023-06-19 20:13:00	9	Midnight	126.964	26.589	-6.00
21	2023-06-19 20:13:00	9	2023-06-20 10:55:00	9	Midday	126.866	26.734	-6.00
22	2023-06-20 10:55:00	9	2023-06-20 20:13:00	9	Midnight	126.893	26.771	-6.00
23	2023-06-20 20:13:00	9	2023-06-21 11:00:00	9	Midday	126.295	27.680	-6.00
24	2023-06-21 11:00:00	9	2023-06-21 20:13:00	9	Midnight	126.323	27.720	-6.00
25	2023-06-21 20:13:00	9	2023-06-22 11:06:00	9	Midday	125.600	28.793	-6.00
26	2023-06-22 11:06:00	9	2023-06-22 20:10:00	9	Midnight	126.002	29.379	-6.00
27	2023-06-22 20:10:00	9	2023-06-23 11:03:00	9	Midday	126.404	28.801	-6.00
28	2023-06-23 11:03:00	9	2023-06-23 20:12:00	9	Midnight	126.181	28.480	-6.00
29	2023-06-23 20:12:00	9	2023-06-24 11:00:00	9	Midday	126.583	27.891	-6.00
30	2023-06-24 11:00:00	9	2023-06-24 20:20:00	9	Midnight	125.610	26.414	-6.00
31	2023-06-24 20:20:00	9	2023-06-25 10:59:00	9	Midday	125.761	26.189	-6.00
32	2023-06-25 10:59:00	9	2023-06-25 20:13:00	9	Midnight	126.663	27.592	-6.00
33	2023-06-25 20:13:00	9	2023-06-26 10:57:00	9	Midday	126.939	27.187	-6.00
34	2023-06-26 10:57:00	9	2023-06-26 20:12:00	9	Midnight	127.091	27.436	-6.00
35	2023-06-26 20:12:00	9	2023-06-27 10:53:00	9	Midday	127.617	26.646	-6.00
36	2023-06-27 10:53:00	9	2023-06-27 20:08:00	9	Midnight	128.143	27.477	-6.00
37	2023-06-27 20:08:00	9	2023-06-28 11:03:00	9	Midday	126.919	29.322	-6.00
38	2023-06-28 11:03:00	9	2023-06-28 20:09:00	9	Midnight	126.819	29.203	-6.00
39	2023-06-28 20:09:00	9	2023-06-29 11:01:00	9	Midday	127.095	28.828	-6.00
40	2023-06-29 11:01:00	9	2023-06-29 20:38:00	9	Midnight	123.495	23.151	-6.00
41	2023-06-29 20:38:00	9	2023-06-30 11:01:00	9	Midday	123.520	23.137	-6.00
42	2023-06-30 11:01:00	9	2023-06-30 20:26:00	9	Midnight	125.045	25.688	-6.00
43	2023-06-30 20:26:00	9	2023-07-01 11:07:00	9	Midday	124.319	26.871	-6.00
44	2023-07-01 11:07:00	9	2023-07-01 20:14:00	9	Midnight	125.844	29.217	-6.00
45	2023-07-01 20:14:00	9	2023-07-02 10:54:00	9	Midday	127.492	26.750	-6.00
46	2023-07-02 10:54:00	9	2023-07-02 20:47:00	9	Midnight	123.391	19.802	-6.00
47	2023-07-02 20:47:00	9	2023-07-03 11:03:00	9	Midday	122.290	21.824	-6.00
48	2023-07-03 11:03:00	9	2023-07-03 20:24:00	9	Midnight	125.188	26.716	-6.00
49	2023-07-03 20:24:00	9	2023-07-04 11:03:00	9	Midday	125.210	26.725	-6.00
50	2023-07-04 11:03:00	9	2023-07-04 20:58:00	9	Midnight	120.983	19.487	-6.00
51	2023-07-04 20:58:00	9	2023-07-05 11:31:00	9	Midday	117.506	25.616	-6.00
52	2023-07-05 11:31:00	9	2023-07-05 20:14:00	9	Midnight	123.027	33.755	-6.00
53	2023-07-05 20:14:00	9	2023-07-06 11:00:00	9	Midday	126.923	28.295	-6.00
54	2023-07-06 11:00:00	9	2023-07-06 20:26:00	9	Midnight	125.444	26.009	-6.00
55	2023-07-06 20:26:00	9	2023-07-07 10:58:00	9	Midday	125.715	25.621	-6.00
56	2023-07-07 10:58:00	9	2023-07-07 20:23:00	9	Midnight	126.110	26.326	-6.00
57	2023-07-07 20:23:00	9	2023-07-08 10:57:00	9	Midday	126.255	26.150	-6.00
58	2023-07-08 10:57:00	9	2023-07-08 20:28:00	9	Midnight	125.649	25.206	-6.00
59	2023-07-08 20:28:00	9	2023-07-09 11:01:00	9	Midday	125.168	26.071	-6.00
60	2023-07-09 11:01:00	9	2023-07-09 20:21:00	9	Midnight	126.062	27.586	-6.00
61	2023-07-09 20:21:00	9	2023-07-10 11:15:00	9	Midday	124.330	30.321	-6.00
62	2023-07-10 11:15:00	9	2023-07-10 20:30:00	9	Midnight	123.223	28.713	-6.00
63	2023-07-10 20:30:00	9	2023-07-11 10:58:00	9	Midday	125.365	25.294	-6.00
64	2023-07-11 10:58:00	9	2023-07-11 20:19:00	9	Midnight	126.757	27.673	-6.00
65	2023-07-11 20:19:00	9	2023-07-12 11:00:00	9	Midday	126.523	28.125	-6.00
66	2023-07-12 11:00:00	9	2023-07-12 20:26:00	9	Midnight	125.664	26.806	-6.00
67	2023-07-12 20:26:00	9	2023-07-13 11:23:00	9	Midday	122.805	31.357	-6.00
68	2023-07-13 11:23:00	9	2023-07-13 20:31:00	9	Midnight	122.195	30.536	-6.00
69	2023-07-13 20:31:00	9	2023-07-14 11:17:00	9	Midday	122.959	29.449	-6.00
70	2023-07-14 11:17:00	9	2023-07-14 20:20:00	9	Midnight	124.348	31.646	-6.00
71	2023-07-14 20:20:00	9	2023-07-15 11:07:00	9	Midday	125.611	29.825	-6.00
72	2023-07-15 11:07:00	9	2023-07-15 20:22:00	9	Midnight	125.374	29.547	-6.00
73	2023-07-15 20:22:00	9	2023-07-16 11:00:00	9	Midday	126.261	28.213	-6.00
74	2023-07-16 11:00:00	9	2023-07-16 20:23:00	9	Midnight	126.148	28.122	-6.00
75	2023-07-16 20:23:00	9	2023-07-17 11:00:00	9	Midday	126.160	28.201	-6.00
76	2023-07-17 11:00:00	9	2023-07-17 20:32:00	9	Midnight	125.045	26.407	-6.00
77	2023-07-17 20:32:00	9	2023-07-18 11:31:00	9	Midday	121.181	32.705	-6.00
78	2023-07-18 11:31:00	9	2023-07-18 20:33:00	9	Midnight	121.065	32.645	-6.00
79	2023-07-18 20:33:00	9	2023-07-19 11:23:00	9	Midday	122.074	31.229	-6.00
80	2023-07-19 11:23:00	9	2023-07-19 20:31:00	9	Midnight	122.333	31.740	-6.00
